,car_park_no,address,car_park_type,type_of_parking_system,free_parking,night_parking,car_park_basement,address_adj,Name (English),Region
601,SE18,BLK 330/335 SERANGOON AVENUE 3,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,SERANGOON,SERANGOON,North-East
602,SE19,BLK 201/210 SERANGOON CENTRAL,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,SERANGOON,SERANGOON,North-East
603,SE2,BLK 101/108 SERANGOON NORTH AVE 1,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,SERANGOON,SERANGOON,North-East
604,SE20,BLK 264 SERANGOON CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,SERANGOON,SERANGOON,North-East
605,SE21,BLK 262/263 SERANGOON CENTRAL,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
606,SE22,BLK 261/263 SERANGOON CENTRAL,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
607,SE23,BLK 253/254 SERANGOON CENTRAL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
608,SE24,BLK 265 SERANGOON AVENUE 3,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,SERANGOON,SERANGOON,North-East
609,SE25,BLK 401/408 SERANGOON CENTRAL/AVE 1,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,SERANGOON,SERANGOON,North-East
610,SE26,BLK 409/414 SERANGOON CENTRAL/AVE 1,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,SERANGOON,SERANGOON,North-East
611,SE27,BLK 421/427 SERANGOON CENTRAL/AVE 1,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,SERANGOON,SERANGOON,North-East
612,SE28,BLK 410A SERANGOON CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,SERANGOON,SERANGOON,North-East
613,SE29,BLK 2A LORONG LEW LIAN,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
614,SE3,BLK 109/112 SERANGOON NORTH AVE 1,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,SERANGOON,SERANGOON,North-East
615,SE30,BLK 141A SERANGOON NTH AVE 2,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
616,SE31,BLK 514/520 SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,SERANGOON,SERANGOON,North-East
617,SE32,BLK 521/530 SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,SERANGOON,SERANGOON,North-East
618,SE33,BLK 537/542 SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,SERANGOON,SERANGOON,North-East
619,SE34,BLK 531/536 SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
620,SE35,BLK 500/506B SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,SERANGOON,SERANGOON,North-East
621,SE37,BLK 519 SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,SERANGOON,SERANGOON,North-East
622,SE38,BLK 504A SERANGOON NORTH AVENUE 4,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
623,SE39,BLK 542A SERANGOON NORTH AVENUE 4,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
624,SE4,"BLK 113-125, 142-148 SERANGOON NORTH AVE 1",SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,SERANGOON,SERANGOON,North-East
625,SE4S,BLK 149A SERANGOON NORTH AVENUE 1,MULTI-STOREY CAR PARK,COUPON PARKING,NO,YES,N,SERANGOON,SERANGOON,North-East
626,SE4T,"BLK 113,115,117,118,120,121 SERANGOON NORTH AVE 1",SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,SERANGOON,SERANGOON,North-East
627,SE40,BLK 550A SERANGOON NORTH AVENUE 3,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
628,SE41,BLK 546A SERANGOON NORTH AVE 3,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
629,SE42,BLK 512A SERANGOON NORTH AVE 4,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
630,SE43,BLK 510 SERANGOON NORTH AVE 4,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,SERANGOON,SERANGOON,North-East
631,SE5L,BLK 150 SERANGOON NORTH AVENUE 2,BASEMENT CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,Y,SERANGOON,SERANGOON,North-East
632,SE50,BLK 238A SERANGOON AVENUE 2,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
633,SE51,BLK 257A SERANGOON CENTRAL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
634,SE52,NEXT TO BLK 226 SERANGOON AVE 4,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,SERANGOON,SERANGOON,North-East
635,SE53,BLK 150 SERANGOON NORTH AVE 2,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
636,SE54,BLK 223A SERANGOON AVE 4,SURFACE CAR PARK,COUPON PARKING,NO,YES,N,SERANGOON,SERANGOON,North-East
637,SE6,BLK 126 SERANGOON NORTH AVE 1,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,SERANGOON,SERANGOON,North-East
638,SE7,BLK 127 SERANGOON NORTH AVE 1,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
639,SE9,BLK 135/141 SERANGOON NORTH AVE 2,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,SERANGOON,SERANGOON,North-East
640,S39L,BLK 542A/542 SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,SERANGOON,SERANGOON,North-East
641,BBB,BLK 232 BRAS BASAH BASEMENT CAR PARK,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,YES,Y,MUSEUM,MUSEUM,Central
642,BBM1,BLK 188A BUKIT BATOK WEST AVE 6,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
643,BBM2,BLK 628A BUKIT BATOK CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
644,BBM3,BLK 289H BUKIT BATOK STREET 25,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
645,BBM4,BLK 288H BUKIT BATOK STREET 25,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
646,BBM5,BLK 290H BUKIT BATOK STREET 24,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
647,BBM6,BLK 291F BUKIT BATOK STREET 24,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
648,BBM7,BLK 154A BUKIT BATOK WEST AVE 8,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
649,BBM8,BLK 622A BUKIT BATOK CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,BUKIT BATOK,BUKIT BATOK,West
650,BBM9,BLK 395A BUKIT BATOK WEST AVE 5,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
651,U1,BLK 101/110 BUKIT BATOK WEST AVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
652,U10,BLK 178/184 BUKIT BATOK WEST AVENUE 8,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
653,U11,BLK 166 BUKIT BATOK WEST AVENUE 8,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,BUKIT BATOK,BUKIT BATOK,West
654,U12,BLK 201/211 BUKIT BATOK STREET 21,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
655,U13,BLK 212/230 BUKIT BATOK STREET 21,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
656,U14,BLK 217/219 BUKIT BATOK STREET 21,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BUKIT BATOK,BUKIT BATOK,West
657,U15,BLK 231/237 BUKIT BATOK EAST AVENUE 5,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
658,U16,BLK 238/241 BUKIT BATOK EAST AVENUE 5,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
659,U17,BLK 242/253 BUKIT BATOK EAST AVE 2/5,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
660,U18,BLK 254/265 BUKIT BATOK EAST AVE 4,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
661,U19,BLK 266/284 BUKIT BATOK EAST AVE 3/4,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 1PM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
662,U2,BLK 111/132 BUKIT BATOK WEST AVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
663,U20,BUKIT BATOK EAST AVE 2/6,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BUKIT BATOK,BUKIT BATOK,West
664,U21,BLK 301/309 BUKIT BATOK STREET 31,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
665,U22,BLK 310/323 BUKIT BATOK STREET 32/33,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
666,U23,BLK 407-426 BUKIT BATOK WEST AVE 2/4,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 1PM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
667,U24,BLK 324/336 BUKIT BATOK STREET 32/33,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 1PM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
668,U24T,BLK 333/334 BUKIT BATOK WEST AVE 4,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 1PM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
669,U25,BLK 337-353/355-356 BUKIT BATOK ST 34,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
670,U26,BLK 354/357-370 BUKIT BATOK ST 31,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
671,U27,BLK 371-373 BUKIT BATOK ST 31,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
672,U28,BLK 374-376 BUKIT BATOK ST 31,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
673,U29,BLK 376 BUKIT BATOK MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
674,U3,BLK 133/139 BUKIT BATOK WEST AVENUE 6,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
675,U30,BLK 523-525 BUKIT BATOK STREET 52,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
676,U31,BLKS 526-534 BUKIT BATOK STREET 51,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
677,U32,BLKS 512-514 BUKIT BATOK STREET 52,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BUKIT BATOK,BUKIT BATOK,West
678,U33,BLKS 535-542 BUKIT BATOK STREET 51/52,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
679,U34,BLKS 501-511 BUKIT BATOK ST 52,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
680,U38,BLK 185/187 BUKIT BATOK WEST AVENUE 6,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BUKIT BATOK,BUKIT BATOK,West
681,U39,BLK 631 BUKIT BATOK CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
682,U4,BLK 140/143 BUKIT BATOK STREET 11,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 1PM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
683,U40,BLK 644A BUKIT BATOK CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
684,U41,BLK 632/644 BUKIT BATOK CENTRAL,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
685,U41A,BLK 630 BT BATOK CENTRAL,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
686,U43,BLK 404A BUKIT BATOK WEST AVENUE 7,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
687,U45,BLK 285A BUKIT BATOK EAST AVE 3,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,N,BUKIT BATOK,BUKIT BATOK,West
688,U46,BLK 297 - 299 BUKIT BATOK ST 22 BUKIT BATOK STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BUKIT BATOK,BUKIT BATOK,West
689,U48,BLK 350 BUKIT BATOK STREET 32,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,BUKIT BATOK,BUKIT BATOK,West
690,U49,210A BUKIT BATOK STREET 21,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,BUKIT BATOK,BUKIT BATOK,West
691,U5,BLK 144/149 BUKIT BATOK WEST AVENUE 6,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 1PM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
692,U50,BLK 230A BUKIT BATOK ST 21 BUKIT BATOK ST 21,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
693,U51,BLK 412A BUKIT BATOK WEST AVE 4,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
694,U52,BLK 194 BUKIT BATOK WEST AVE 6,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
695,U53,BLK 296 BUKIT BATOK ST 22,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
696,U54,241A BUKIT BATOK EAST AVE 5,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
697,U55,BLK 445 BUKIT BATOK WEST AVE 8,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
698,U56,BLK 443 BUKIT BATOK WEST AVE 8,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
699,U57,BLK 293 BUKIT BATOK ST 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
700,U58,BLK 448 BT BATOK WEST AVE 9,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
701,U59,BLK 292 BUKIT BATOK EAST AVE 6,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
702,U6,BLK 150/158 BUKIT BATOK STREET 11,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 1PM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
703,U60,BLK 451 BUKIT BATOK WEST AVE 6,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
704,U61,BLK440 BUKIT BATOK WEST AVE 8,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
705,U62,BLK 453 BUKIT BATOK WEST AVE 6,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
706,U63,BLK 377A BUKIT BATOK ST 31,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,BUKIT BATOK,BUKIT BATOK,West
707,U64,BLK 461 BUKIT BATOK WEST AVE 8,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
708,U65,BLK 439 BUKIT BATOK WEST AVE 8,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
709,U66,BLK 436 BUKIT BATOK WEST AVE 5,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
710,U68,BLK 460 BUKIT BATOK WEST AVE 8,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
711,U69,BLK 467 BUKIT BATOK WEST AVE 9,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
712,U7,BLK 159/164 BUKIT BATOK STREET 11,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
713,U70,BLK 463 BUKIT BATOK ST 41,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
714,U8,BLK 165/168 BUKIT BATOK WEST AVENUE 8,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
715,U9,BLK 169/177 BUKIT BATOK WEST AVENUE 8,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BUKIT BATOK,BUKIT BATOK,West
716,BE10,BLKS 168-180 BISHAN STREET 13,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
717,BE11,BLK 181-186 BISHAN STREET 13,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
718,BE12,BLK 187-197 BISHAN STREET 13,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,BISHAN,BISHAN,Central
719,BE13,BLK 135A BISHAN STREET 12,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
720,BE14,BLK 167A BISHAN STREET 13,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
721,BE15,BLK 152A BISHAN STREET 11,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
722,BE16,BISHAN PARK I,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
723,BE18,BLK 441-455 SIN MING/BRIGHT HILL DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BISHAN,BISHAN,Central
724,BE19,BLK 503/504 BISHAN STREET 11,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
725,BE20,BLK 505 BISHAN STREET 11,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
726,BE21,BLK 506/509 BISHAN STREET 11,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
727,BE22,BLK 511/513 BISHAN STREET 13,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
728,BE23,BLK 514 BISHAN STREET 13,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,BISHAN,BISHAN,Central
729,BE24,BLK 201/206 BISHAN STREET 23,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BISHAN,BISHAN,Central
730,BE25,BLK 207A BISHAN STREET 23,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
731,BE26,BLK 207/212/216/217 BISHAN STREET 23,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BISHAN,BISHAN,Central
732,BE27,BLK 212A BISHAN STREET 23,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
733,BE28,"BLK 213-215,218-227 BISHAN STREET 23",SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BISHAN,BISHAN,Central
734,BE29,BLK 228-231 BISHAN STREET 23,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BISHAN,BISHAN,Central
735,BE3,BLK 401-408 SIN MING AVE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BISHAN,BISHAN,Central
736,BE3R,BLK 410A SIN MING AVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
737,BE30,BLK 231A BISHAN STREET 23,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
738,BE31,BLK 232-237 BISHAN STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BISHAN,BISHAN,Central
739,BE32,BLK 237A BISHAN STREET 22,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
740,BE33,BLK 238-245 BISHAN STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BISHAN,BISHAN,Central
741,BE34,BLK 246A BISHAN STREET 22,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
742,BE35,BLK 246-256 BISHAN STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,BISHAN,BISHAN,Central
743,BE36,BLK 278-281 BISHAN STREET 24,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,BISHAN,BISHAN,Central
744,BE37,BLK 282 BISHAN STREET 22,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,BISHAN,BISHAN,Central
745,BE38,BLK 283/284 BISHAN STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,BISHAN,BISHAN,Central
